samples	missing	called	pct_called
sample_0456	7	1741	0.9959954233409611
sample_0457	6	1742	0.9965675057208238
sample_0458	9	1739	0.9948512585812357
sample_0459	7	1741	0.9959954233409611
sample_0460	12	1736	0.9931350114416476
sample_0461	7	1741	0.9959954233409611
sample_0462	7	1741	0.9959954233409611
sample_0463	7	1741	0.9959954233409611
sample_0464	8	1740	0.9954233409610984
sample_0465	7	1741	0.9959954233409611
sample_0466	6	1742	0.9965675057208238
sample_0467	19	1729	0.9891304347826086
sample_0468	12	1736	0.9931350114416476
sample_0469	17	1731	0.9902745995423341
sample_0470	32	1716	0.9816933638443935
sample_0471	7	1741	0.9959954233409611
sample_0472	6	1742	0.9965675057208238
sample_0473	9	1739	0.9948512585812357
sample_0474	5	1743	0.9971395881006865
sample_0475	6	1742	0.9965675057208238
sample_0476	11	1737	0.9937070938215103
sample_0477	11	1737	0.9937070938215103
sample_0478	6	1742	0.9965675057208238
sample_0479	7	1741	0.9959954233409611
sample_0480	8	1740	0.9954233409610984
sample_0481	19	1729	0.9891304347826086
sample_0482	10	1738	0.994279176201373
sample_0483	7	1741	0.9959954233409611
sample_0484	7	1741	0.9959954233409611
sample_0485	9	1739	0.9948512585812357
sample_0486	6	1742	0.9965675057208238
sample_0487	7	1741	0.9959954233409611
sample_0488	7	1741	0.9959954233409611
sample_0489	31	1717	0.9822654462242563
sample_0490	8	1740	0.9954233409610984
sample_0491	7	1741	0.9959954233409611
sample_0492	8	1740	0.9954233409610984
sample_0493	27	1721	0.9845537757437071
sample_0494	10	1738	0.994279176201373
sample_0495	7	1741	0.9959954233409611
sample_0496	7	1741	0.9959954233409611
sample_0497	7	1741	0.9959954233409611
sample_0498	15	1733	0.9914187643020596
sample_0499	17	1731	0.9902745995423341
sample_0500	8	1740	0.9954233409610984
sample_0501	11	1737	0.9937070938215103
sample_0502	6	1742	0.9965675057208238
sample_0503	7	1741	0.9959954233409611
sample_0504	6	1742	0.9965675057208238
sample_0505	22	1726	0.9874141876430206
sample_0506	6	1742	0.9965675057208238
sample_0507	27	1721	0.9845537757437071
sample_0508	17	1731	0.9902745995423341
sample_0509	10	1738	0.994279176201373
sample_0510	7	1741	0.9959954233409611
sample_0511	11	1737	0.9937070938215103
sample_0512	10	1738	0.994279176201373
sample_0513	8	1740	0.9954233409610984
sample_0514	4	1744	0.9977116704805492
sample_0515	7	1741	0.9959954233409611
sample_0516	13	1735	0.9925629290617849
sample_0517	7	1741	0.9959954233409611
sample_0518	6	1742	0.9965675057208238
sample_0519	6	1742	0.9965675057208238
sample_0520	7	1741	0.9959954233409611
sample_0521	27	1721	0.9845537757437071
sample_0522	11	1737	0.9937070938215103
sample_0523	12	1736	0.9931350114416476
sample_0524	6	1742	0.9965675057208238
sample_0525	6	1742	0.9965675057208238
sample_0526	6	1742	0.9965675057208238
sample_0527	22	1726	0.9874141876430206
sample_0528	8	1740	0.9954233409610984
sample_0529	6	1742	0.9965675057208238
sample_0530	13	1735	0.9925629290617849
sample_0531	8	1740	0.9954233409610984
sample_0532	13	1735	0.9925629290617849
sample_0533	6	1742	0.9965675057208238
sample_0534	6	1742	0.9965675057208238
sample_0535	6	1742	0.9965675057208238
sample_0536	8	1740	0.9954233409610984
sample_0537	6	1742	0.9965675057208238
sample_0538	7	1741	0.9959954233409611
sample_0539	7	1741	0.9959954233409611
sample_0540	7	1741	0.9959954233409611
sample_0541	9	1739	0.9948512585812357
sample_0542	6	1742	0.9965675057208238
sample_0543	6	1742	0.9965675057208238
sample_0544	6	1742	0.9965675057208238
sample_0545	14	1734	0.9919908466819222
sample_0546	7	1741	0.9959954233409611
sample_0547	9	1739	0.9948512585812357
sample_0548	7	1741	0.9959954233409611
sample_0549	3	1745	0.9982837528604119
sample_0550	8	1740	0.9954233409610984
sample_0551	9	1739	0.9948512585812357
sample_0552	6	1742	0.9965675057208238
sample_0553	8	1740	0.9954233409610984
sample_0554	25	1723	0.9856979405034325
sample_0555	6	1742	0.9965675057208238
sample_0556	7	1741	0.9959954233409611
sample_0557	17	1731	0.9902745995423341
sample_0558	10	1738	0.994279176201373
sample_0559	9	1739	0.9948512585812357
sample_0560	8	1740	0.9954233409610984
sample_0561	7	1741	0.9959954233409611
sample_0562	7	1741	0.9959954233409611
sample_0563	26	1722	0.9851258581235698
sample_0564	7	1741	0.9959954233409611
sample_0565	10	1738	0.994279176201373
sample_0566	10	1738	0.994279176201373
sample_0567	11	1737	0.9937070938215103
sample_0568	9	1739	0.9948512585812357
sample_0569	8	1740	0.9954233409610984
sample_0570	7	1741	0.9959954233409611
sample_0571	13	1735	0.9925629290617849
sample_0572	6	1742	0.9965675057208238
sample_0573	7	1741	0.9959954233409611
sample_0574	7	1741	0.9959954233409611
sample_0575	9	1739	0.9948512585812357
sample_0576	6	1742	0.9965675057208238
sample_0577	7	1741	0.9959954233409611
sample_0578	7	1741	0.9959954233409611
sample_0579	10	1738	0.994279176201373
sample_0580	7	1741	0.9959954233409611
sample_0581	6	1742	0.9965675057208238
sample_0582	7	1741	0.9959954233409611
sample_0583	7	1741	0.9959954233409611
sample_0584	8	1740	0.9954233409610984
sample_0585	6	1742	0.9965675057208238
sample_0586	8	1740	0.9954233409610984
sample_0587	35	1713	0.9799771167048055
sample_0588	6	1742	0.9965675057208238
sample_0589	7	1741	0.9959954233409611
sample_0590	13	1735	0.9925629290617849
sample_0591	9	1739	0.9948512585812357
sample_0592	8	1740	0.9954233409610984
sample_0593	4	1744	0.9977116704805492
sample_0594	6	1742	0.9965675057208238
sample_0595	5	1743	0.9971395881006865
sample_0596	8	1740	0.9954233409610984
sample_0597	8	1740	0.9954233409610984
sample_0598	9	1739	0.9948512585812357
sample_0599	4	1744	0.9977116704805492
sample_0600	6	1742	0.9965675057208238
sample_0601	12	1736	0.9931350114416476
sample_0602	7	1741	0.9959954233409611
sample_0603	3	1745	0.9982837528604119
sample_0604	7	1741	0.9959954233409611
sample_0605	7	1741	0.9959954233409611
sample_0606	6	1742	0.9965675057208238
sample_0607	12	1736	0.9931350114416476
sample_0608	10	1738	0.994279176201373
sample_0609	6	1742	0.9965675057208238
sample_0610	4	1744	0.9977116704805492
sample_0611	4	1744	0.9977116704805492
sample_0612	5	1743	0.9971395881006865
sample_0613	8	1740	0.9954233409610984
sample_0614	8	1740	0.9954233409610984
sample_0615	6	1742	0.9965675057208238
sample_0616	3	1745	0.9982837528604119
sample_0617	11	1737	0.9937070938215103
sample_0618	8	1740	0.9954233409610984
sample_0619	7	1741	0.9959954233409611
sample_0620	5	1743	0.9971395881006865
sample_0621	6	1742	0.9965675057208238
sample_0622	7	1741	0.9959954233409611
sample_0623	9	1739	0.9948512585812357
sample_0624	13	1735	0.9925629290617849
sample_0625	8	1740	0.9954233409610984
sample_0626	4	1744	0.9977116704805492
sample_0627	9	1739	0.9948512585812357
sample_0628	9	1739	0.9948512585812357
