sequence	MST-78x1.0
NGPT13115	G001
NGPT13116	G001
NGPT13118	G001
NGPT14004	G001
NGPT14006	G001
NGPT14009	G001
NGPT14019	G001
NGPT14023	G002
NGPT14025	G006
NGPT14027	G001
NGPT14029	G001
NGPT14030	G014
NGPT14031	G001
NGPT14050	G001
NGPT14069	G001
NGPT14072	G002
NGPT14076	G002
NGPT14079	G001
NGPT14081	G001
NGPT14086	G001
NGPT14088	G002
NGPT14097	G002
NGPT14105	G001
NGPT14110	G001
NGPT14130	G001
NGPT14146	G004
NGPT14152	G002
NGPT14156	G001
NGPT14170	G008
NGPT14183	G006
NGPT14189	G002
NGPT14190	G001
NGPT14194	G006
NGPT15026	G002
NGPT15029	G001
NGPT15033	G002
NGPT15036	G002
NGPT15040	G001
NGPT15042	G004
NGPT15051	G001
NGPT15058	G002
NGPT15059	G040
NGPT15067	G002
NGPT15082	G001
NGPT15084	G025
NGPT15085	G025
NGPT15112	G002
NGPT15119	G002
NGPT15121	G001
NGPT15122	G002
NGPT15123	G001
NGPT15124	G002
NGPT15144	G001
NGPT15148	G123
NGPT15161	G017
NGPT15169	G002
NGPT15178	G004
NGPT15182	G001
NGPT15194	G001
NGPT15204	G017
NGPT15227	G001
NGPT15242	G002
NGPT15247	G002
NGPT16004	G002
NGPT16005	G001
NGPT16010	G002
NGPT16011	G002
NGPT16024	G002
NGPT16032	G001
NGPT16036	G001
NGPT16096	G014
NGPT16118	G002
NGPT16119	G009
NGPT16121	G002
NGPT16124	G002
NGPT16163	G016
NGPT16169	G025
NGPT16175	G009
NGPT16176	G008
NGPT16180	G002
NGPT16197	G047
NGPT16200	G004
NGPT16219	G010
NGPT16220	G010
NGPT16221	G028
NGPT16226	G002
NGPT16242	G004
NGPT16259	G004
NGPT16271	G009
NGPT16272	G002
NGPT16293	G011
NGPT16295	G009
NGPT16299	G002
NGPT17020	G048
NGPT17021	G004
NGPT17023	G005
NGPT17037	G001
NGPT17049	G040
NGPT17051	G040
NGPT17054	G001
NGPT17058	G021
NGPT17078	G001
NGPT17106	G001
NGPT17125	G001
NGPT17137	G002
NGPT17168	G001
NGPT17183	G002
NGPT17228	G016
NGPT17230	G028
NGPT17303	G016
NGPT17312	G097
NGPT17334	G079
NGPT17357	G008
NGPT17358	G077
NGPT17359	G016
NGPT17360	G008
NGPT17361	G021
NGPT17362	G049
NGPT17365	G027
NGPT17367	G006
NGPT17368	G016
NGPT17369	G079
NGPT17371	G003
NGPT17372	G027
NGPT17374	G028
NGPT17375	G001
NGPT17376	G027
NGPT17377	G019
NGPT17379	G016
NGPT17380	G009
NGPT17381	G137
NGPT17382	G016
